ARGs	Risk_score
beta_lactam__TEM-1	1.577916963
beta_lactam__GES-1	1.415588543
multidrug__golS	1.20526338
beta_lactam__IMP-4	1.082227308
beta_lactam__OXA-1	1.051763989
beta_lactam__OXA-10	1.005467118
beta_lactam__TEM-171	0.896170655
macrolide-lincosamide-streptogramin__ereA2	0.893290861
beta_lactam__OXA-2	0.858258515
aminoglycoside__AAC(3)-IIe	0.800015184
multidrug__Escherichia_coli_acrA	0.777007212
beta_lactam__KPC-2	0.776257016
beta_lactam__PER-1	0.747929412
polymyxin__mcr-3.2	0.726579101
beta_lactam__OXA-4	0.726441611
beta_lactam__RAHN-2	0.716391517
beta_lactam__FONA-6	0.675671925
macrolide-lincosamide-streptogramin__ere(A)	0.655636973
beta_lactam__OXA-48	0.651467233
multidrug__CRP	0.621063768
quinolone__QnrVC4	0.602336508
beta_lactam__GES-2	0.585629695
macrolide-lincosamide-streptogramin__mph(A)	0.563968459
beta_lactam__OXA-21	0.554385219
beta_lactam__OXA-129	0.549838982
chloramphenicol__cmlA5	0.52807995
aminoglycoside__APH(6)-Id	0.527675271
beta_lactam__CTX-M-3	0.507559761
aminoglycoside__ANT(2'')-Ia	0.502147706
sulfonamide__sul1	0.493018129
quinolone__QnrVC6	0.491960431
quinolone__QnrS2	0.486709008
tetracycline__tet(E)	0.484316133
aminoglycoside__aadA5	0.468860279
quinolone__QnrVC1	0.464681281
aminoglycoside__aadA	0.451287219
beta_lactam__PAU-1	0.449526815
aminoglycoside__AAC(3)-Ib	0.436199055
beta_lactam__Escherichia_coli_ampC	0.436152196
beta_lactam__TEM-116	0.428959641
tetracycline__tet(A)	0.419094573
quinolone__QnrE2	0.414180859
multidrug__evgA	0.41208481
beta_lactam__OXA-35	0.396918459
beta_lactam__PER-6	0.395857074
polymyxin__mcr-3.8	0.395145429
sulfonamide__sul2	0.394850677
aminoglycoside__APH(3')-Ia	0.393399169
beta_lactam__IMP-8	0.393106622
trimethoprim__dfrA10	0.389877461
chloramphenicol__catB3	0.384359788
beta_lactam__OXA-101	0.383481624
beta_lactam__PER-2	0.381312711
polymyxin__mcr-3.9	0.377380732
beta_lactam__CARB-3	0.364874676
multidrug__marA	0.36310641
macrolide-lincosamide-streptogramin__mph(F)	0.360168199
vancomycin__vanSA	0.337273092
tetracycline__tet(G)	0.332932405
tetracycline__tet(C)	0.327282533
beta_lactam__BcIII	0.326536736
beta_lactam__VEB-3	0.324140731
aminoglycoside__APH(3'')-Ib	0.323887976
beta_lactam__GES-7	0.32237639
trimethoprim__dfrA17	0.312379528
beta_lactam__ADC-41	0.310516627
trimethoprim__dfrA14	0.304722216
beta_lactam__OXA-119	0.296667139
beta_lactam__OXA-237	0.286739668
beta_lactam__OXA-372	0.286633027
polymyxin__mcr-5.1	0.282889285
florfenicol__floR	0.275317071
beta_lactam__OXA-198	0.272106623
beta_lactam__mecI	0.270083912
aminoglycoside__aadA27	0.267145187
vancomycin__vanRA	0.26565635
multidrug__sdiA	0.256932011
aminoglycoside__AAC(6')-Ib7	0.255654225
multidrug__mdsB	0.254610418
multidrug__mdtF	0.251618947
beta_lactam__CARB-5	0.24849834
rifamycin__arr-2	0.247678739
beta_lactam__OXA-181	0.245492827
beta_lactam__MOX-8	0.244472055
beta_lactam__FOX-2	0.233181233
macrolide-lincosamide-streptogramin__lsa(E)	0.226748342
